number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
82,,,,2023-11-29 20:39:15.979409,2023-11-29 20:39:16.240566,0 days 00:00:00.261157,1,1.8536190376392125,56,SMA,1.5768523118322149,24,12,26,0,3,0,5,78,1,FAIL
83,0.5933937197309368,0.6773315802315016,0.10016514897333124,2023-11-29 20:39:16.242561,2023-11-29 20:39:16.498785,0 days 00:00:00.256224,1,1.937093598856918,53,WMA,2.2185585892473205,34,5,30,2,5,1,3,90,1,COMPLETE
84,-0.8646886525799683,-0.23096408963904053,-0.6479368306585781,2023-11-29 20:39:16.500779,2023-11-29 20:39:16.769114,0 days 00:00:00.268335,0,1.209241888127979,36,SMA,2.4857448129426,51,16,30,2,3,0,4,80,1,COMPLETE
85,,,,2023-11-29 20:39:16.770111,2023-11-29 20:39:17.032108,0 days 00:00:00.261997,0,2.2294970355998927,44,SMA,1.9718788586095153,52,7,27,2,3,0,5,79,1,FAIL
86,-0.6879163177695969,-0.20743097512322278,-0.3710180411638185,2023-11-29 20:39:17.034133,2023-11-29 20:39:17.303521,0 days 00:00:00.269388,1,1.352983078841774,54,WMA,2.883530337582293,31,11,17,2,5,2,5,78,1,COMPLETE
87,0.6986878878814049,0.8147438694968314,0.23980535345484696,2023-11-29 20:39:17.304486,2023-11-29 20:39:17.570232,0 days 00:00:00.265746,0,2.650856465541163,13,WMA,2.5551208924133264,43,7,19,0,4,0,4,87,1,COMPLETE
88,0.06977360396414416,0.009882174405685359,0.01172630492119282,2023-11-29 20:39:17.571316,2023-11-29 20:39:17.826757,0 days 00:00:00.255441,0,2.27133769081256,44,WMA,2.6645735473248227,59,17,26,2,4,2,3,83,1,COMPLETE
89,0.4479075087718432,0.575819834394837,0.4128764952838733,2023-11-29 20:39:17.827753,2023-11-29 20:39:18.091979,0 days 00:00:00.264226,0,2.951718010125258,22,WMA,2.770570069085377,52,18,17,1,3,1,3,81,1,COMPLETE
90,0.10293143969695182,0.018182192024166783,0.028127013043794735,2023-11-29 20:39:18.093984,2023-11-29 20:39:18.368360,0 days 00:00:00.274376,0,1.0993600810868265,44,SMA,1.9202211313106983,15,15,19,2,5,0,4,75,1,COMPLETE
91,0.7939274961369887,0.594417248209307,1.1702188671331046,2023-11-29 20:39:18.369363,2023-11-29 20:39:18.653355,0 days 00:00:00.283992,0,2.3313187723219206,24,WMA,2.5573719482415207,44,14,20,2,4,1,3,71,1,COMPLETE
