number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
108,-0.1854700813221763,-0.18306708741489083,-0.4226470630095789,2023-11-29 20:12:19.158292,2023-11-29 20:12:19.766758,0 days 00:00:00.608466,1,2.063938377922324,12,EMA,1.898667979799285,24,1,COMPLETE
109,-0.7922212002676948,-0.24448828628537286,-0.5722588991548982,2023-11-29 20:12:19.767754,2023-11-29 20:12:20.332154,0 days 00:00:00.564400,2,1.721957407597513,36,WMA,2.668157948138396,44,1,COMPLETE
110,0.05182547671359793,-0.02220127676245363,-0.04558246721635058,2023-11-29 20:12:20.333132,2023-11-29 20:12:20.922385,0 days 00:00:00.589253,1,2.1838408161931575,33,WMA,2.9742940523922927,38,1,COMPLETE
111,,,,2023-11-29 20:12:20.922385,2023-11-29 20:12:21.591698,0 days 00:00:00.669313,1,2.3617660061716483,19,EMA,1.1265247796843285,16,1,FAIL
112,0.22681976125260747,0.10184523707148796,0.07859344941034778,2023-11-29 20:12:21.593656,2023-11-29 20:12:21.835075,0 days 00:00:00.241419,1,1.7310156218294075,60,WMA,2.1565720497327168,22,1,COMPLETE
113,0.4146033430143845,0.2093902165609799,0.4230988989349646,2023-11-29 20:12:21.836069,2023-11-29 20:12:22.418054,0 days 00:00:00.581985,0,1.9418962637744088,52,EMA,2.9115132807169957,13,1,COMPLETE
114,0.899850940468317,0.7775243669953085,2.9181263402020785,2023-11-29 20:12:22.419090,2023-11-29 20:12:22.918369,0 days 00:00:00.499279,1,1.0982249699721076,17,EMA,1.1544810312625282,44,1,COMPLETE
115,0.3301439387100825,0.10907901732048704,0.29319400494628395,2023-11-29 20:12:22.919362,2023-11-29 20:12:23.470093,0 days 00:00:00.550731,1,1.0772601105294752,28,SMA,1.1265247796843285,23,1,COMPLETE
116,0.17650978261381772,0.02095244208764059,0.043356651427814655,2023-11-29 20:12:23.472086,2023-11-29 20:12:23.992874,0 days 00:00:00.520788,2,1.026622582410637,23,WMA,1.4685158940992906,31,1,COMPLETE
117,0.7746827003803031,0.6580062277655019,1.8421116139033358,2023-11-29 20:12:23.994868,2023-11-29 20:12:24.557621,0 days 00:00:00.562753,2,2.084719296890812,23,SMA,2.5486557686141786,54,1,COMPLETE
118,0.3986339697171609,0.229043456976193,0.46875207378152395,2023-11-29 20:12:24.558619,2023-11-29 20:12:25.072757,0 days 00:00:00.514138,2,1.4622645671961683,27,EMA,1.898667979799285,29,1,COMPLETE
119,0.30121477841824174,0.2988683244737225,0.08634654742775566,2023-11-29 20:12:25.073753,2023-11-29 20:12:25.629294,0 days 00:00:00.555541,1,1.026622582410637,47,WMA,1.2029630083997205,31,1,COMPLETE
120,,,,2023-11-29 20:12:25.630291,2023-11-29 20:12:26.277443,0 days 00:00:00.647152,2,2.854773941711863,16,EMA,1.1265247796843285,24,1,FAIL
