uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
646,,2.5406346642971043,64,4,40,96,72
647,,4.0135191330815445,64,8,40,120,68
648,,2.6032239200006497,68,4,36,120,60
649,,4.4322972054347805,64,4,40,120,68
650,,3.971949145677128,60,8,40,120,68
651,,3.8437247462517,64,4,44,120,64
653,,4.391950886276888,64,4,36,120,68
654,,4.057901658315853,64,4,40,120,64
656,,3.424740212482573,68,8,40,96,68
657,,4.391950886276888,64,4,36,120,68
659,,4.147616299781392,64,4,44,120,68
660,,4.424350506325201,60,4,40,120,68
661,,3.763303011589685,64,8,36,120,72
662,,3.3499515530652992,68,4,40,120,64
663,,2.966908785027821,64,4,40,192,68
665,,2.98484809176252,68,8,40,120,44
667,,4.4322972054347805,64,4,40,120,68
668,,4.0135191330815445,64,8,40,120,68
669,,3.811936768578881,68,4,44,120,68
670,,4.1198833231230045,60,4,40,120,64
671,,2.852418526048125,64,4,52,120,72
672,,3.348267950315744,68,12,36,96,68
673,,4.147616299781392,64,4,44,120,68
674,,3.454043673202091,64,24,40,120,68
675,,3.89399448603263,60,8,36,144,64
677,,2.833167425884448,64,4,40,24,68
678,,3.811936768578881,68,4,44,120,68
679,,3.745724927889945,60,8,40,96,64
682,,4.147616299781392,64,4,44,120,68
683,,4.1198833231230045,60,4,40,120,64
684,,3.3467271669182987,68,8,40,120,72
685,,4.391950886276888,64,4,36,120,68
686,,2.746952235160358,64,4,40,144,68
687,,3.811936768578881,68,4,44,120,68
688,,3.623591742238158,60,8,40,120,72
689,,2.8929019194715577,64,4,40,96,64
690,,3.004526039798926,64,20,36,120,68
691,,4.4322972054347805,64,4,40,120,68
692,,3.3467271669182987,68,8,40,120,72
693,,3.871125331955211,60,4,44,120,64
695,,4.391950886276888,64,4,36,120,68
696,,3.1969994812588167,60,32,16,120,64
697,,3.811936768578881,68,4,44,120,68
698,,3.711948302506385,64,8,40,120,72
700,,4.391950886276888,64,4,36,120,68
701,,4.140668817167323,60,4,44,120,68
702,,3.803433279259535,68,8,40,120,64
703,,4.11109709844076,64,4,40,120,72
704,,3.9608739174823087,64,8,36,120,68
705,,3.642708343870249,64,4,44,96,68
706,,3.0969648926350666,68,4,48,120,64
707,,4.424350506325201,60,4,40,120,68
708,,4.093941520396479,72,4,40,120,72
709,,2.8658043224280827,64,8,36,48,68
710,,4.4322972054347805,64,4,40,120,68
712,,2.5911457817815444,64,4,44,144,60
713,,3.745724927889945,60,8,40,96,64
714,,2.638865468302307,64,4,40,120,56
715,,3.082034130468615,64,4,36,120,52
716,,2.709599724230924,60,8,44,120,68
717,,4.09204429593979,68,4,40,120,68
718,,4.057901658315853,64,4,40,120,64
719,,3.5812671042631066,48,4,36,120,72
720,,2.746952235160358,64,4,40,144,68
721,,2.709599724230924,60,8,44,120,68
722,,4.09204429593979,68,4,40,120,68
723,,4.391950886276888,64,4,36,120,68
726,,2.823112572386635,68,4,40,96,68
727,,4.11109709844076,64,4,40,120,72
728,,4.033008390309566,60,4,36,120,64
731,,4.0135191330815445,64,8,40,120,68
732,,4.383801129048291,60,4,36,120,68
733,,4.11109709844076,64,4,40,120,72
735,,2.8404824027179054,68,8,40,96,4
736,,4.033008390309566,60,4,36,120,64
737,,2.698266996636112,64,8,40,120,32
740,,4.1198833231230045,60,4,40,120,64
741,,4.147616299781392,64,4,44,120,68
742,,2.4735928541535737,64,4,40,120,48
744,,2.7504989062452387,32,8,40,120,68
745,,4.4322972054347805,64,4,40,120,68
746,,4.147616299781392,64,4,44,120,68
747,,3.803433279259535,68,8,40,120,64
748,,4.383801129048291,60,4,36,120,68
750,,4.029164398200101,60,4,40,120,72
751,,2.5748978350654883,72,8,44,120,68
752,,4.057901658315853,64,4,40,120,64
753,,3.5458886503342475,68,8,36,120,68
754,,4.11109709844076,64,4,40,120,72
755,,2.5803254180887363,60,4,44,144,68
756,,4.4322972054347805,64,4,40,120,68
757,,3.3893631007534224,68,8,36,120,72
758,,2.8929019194715577,64,4,40,96,64
759,,4.4322972054347805,64,4,40,120,68
760,,4.147616299781392,64,4,44,120,68
761,,2.864969987514946,68,8,36,96,64
762,,4.424350506325201,60,4,40,120,68
763,,4.4322972054347805,64,4,40,120,68
766,,4.057901658315853,64,4,40,120,64
767,,4.383801129048291,60,4,36,120,68
768,,4.147616299781392,64,4,44,120,68
769,,3.3467271669182987,68,8,40,120,72
770,,4.391950886276888,64,4,36,120,68
772,,4.147616299781392,64,4,44,120,68
773,,4.057901658315853,64,4,40,120,64
776,,3.4449564910552395,64,8,40,144,68
777,,3.7312049941605303,64,4,36,96,68
778,,3.711948302506385,64,8,40,120,72
779,,4.424350506325201,60,4,40,120,68
780,,3.77196172743268,68,4,44,120,64
781,,3.306172163018995,48,8,36,120,68
783,,4.147616299781392,64,4,44,120,68
784,,3.1958056821834773,68,4,48,120,72
785,,3.010471233728912,40,8,40,120,64
786,,4.4322972054347805,64,4,40,120,68
787,,2.6526117230985675,60,4,36,144,68
788,,4.11109709844076,64,4,40,120,72
789,,2.71964828664774,64,8,44,120,68
791,,4.033008390309566,60,4,36,120,64
793,,4.0135191330815445,64,8,40,120,68
794,,3.811936768578881,68,4,44,120,68
795,,4.424350506325201,60,4,40,120,68
796,,3.841158320506808,64,8,36,144,64
798,,4.11109709844076,64,4,40,120,72
799,,3.811936768578881,68,4,44,120,68
800,,4.057901658315853,64,4,40,120,64
801,,3.9608739174823087,64,8,36,120,68
802,,2.5406346642971043,64,4,40,96,72
803,,2.81935058975895,64,16,44,120,68
804,,2.7490060255490056,60,4,40,144,68
806,,4.0135191330815445,64,8,40,120,68
808,,4.09204429593979,68,4,40,120,68
811,,3.9700718375424495,64,4,36,120,64
813,,3.811936768578881,68,4,44,120,68
814,,3.8859451537178207,64,8,40,120,64
815,,4.029164398200101,60,4,40,120,72
816,,3.9608739174823087,64,8,36,120,68
817,,4.147616299781392,64,4,44,120,68
818,,3.252300692258247,28,4,40,120,64
820,,2.686346953801498,64,8,36,144,68
822,,3.8437247462517,64,4,44,120,64
823,,4.09204429593979,68,4,40,120,68
824,,3.711948302506385,64,8,40,120,72
825,,2.823112572386635,68,4,40,96,68
