number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
119,2.3969957072122425,1.7407076099799994,14.487992913286462,35.9375,2023-12-06 10:27:32.064381,2023-12-06 10:27:32.256981,0 days 00:00:00.192600,16,16,96,2,COMPLETE
120,1.8929265583213188,2.5796734222127777,8.859015964093023,34.375,2023-12-06 10:27:32.257621,2023-12-06 10:27:32.450622,0 days 00:00:00.193001,64,40,152,2,COMPLETE
121,2.2139267257824162,2.999050301400057,8.643489112959433,46.42857142857143,2023-12-06 10:27:32.451282,2023-12-06 10:27:32.646360,0 days 00:00:00.195078,60,48,188,2,COMPLETE
122,1.90551069866378,1.5942405560260529,7.381292805921649,34.61538461538461,2023-12-06 10:27:32.647070,2023-12-06 10:27:32.840892,0 days 00:00:00.193822,20,44,208,2,COMPLETE
123,3.2915790904626565,3.3812058216767795,26.256727018003954,43.18181818181818,2023-12-06 10:27:32.841596,2023-12-06 10:27:33.039995,0 days 00:00:00.198399,52,8,92,2,COMPLETE
124,2.9701893603111134,2.8804273670643923,15.191553491176927,40.476190476190474,2023-12-06 10:27:33.040670,2023-12-06 10:27:33.241046,0 days 00:00:00.200376,28,64,160,2,COMPLETE
125,2.582796999378686,2.378275481019482,18.580954123152235,43.75,2023-12-06 10:27:33.241765,2023-12-06 10:27:33.440619,0 days 00:00:00.198854,32,16,156,2,COMPLETE
126,0.2634165853477089,1.051119288812655,0.23570809736290219,35.0,2023-12-06 10:27:33.441344,2023-12-06 10:27:33.634067,0 days 00:00:00.192723,8,68,12,2,COMPLETE
127,3.440398558041109,4.2680122361989055,28.075700071868145,41.66666666666667,2023-12-06 10:27:33.634777,2023-12-06 10:27:33.830146,0 days 00:00:00.195369,8,20,192,2,COMPLETE
128,3.1696418372389745,3.6935443095231935,24.891578227687184,48.717948717948715,2023-12-06 10:27:33.830798,2023-12-06 10:27:34.028719,0 days 00:00:00.197921,48,20,112,2,COMPLETE
