number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
109,2.5228931848726863,1.7826808825513667,5.140223527486884,44.44444444444444,2023-12-06 10:18:48.783527,2023-12-06 10:18:48.981948,0 days 00:00:00.198421,2.3845463225500723,68,16,52,2,COMPLETE
110,2.3332847623642174,1.3575912987773078,7.294731106693128,38.53211009174312,2023-12-06 10:18:48.982708,2023-12-06 10:18:49.178516,0 days 00:00:00.195808,1.7535980782467544,36,16,124,2,COMPLETE
111,2.1940552497363273,1.562370384934596,5.2754881112425815,42.5531914893617,2023-12-06 10:18:49.179395,2023-12-06 10:18:49.367817,0 days 00:00:00.188422,2.218586931814867,72,36,52,2,COMPLETE
112,2.920474294243952,1.9238169329572052,10.002723924466535,42.5,2023-12-06 10:18:49.368505,2023-12-06 10:18:49.557702,0 days 00:00:00.189197,2.8373466755769097,68,8,124,2,COMPLETE
113,0.4964465482591768,1.0465824983669318,0.7334667523937206,33.92857142857143,2023-12-06 10:18:49.558435,2023-12-06 10:18:49.747233,0 days 00:00:00.188798,1.5235585585094331,28,12,24,2,COMPLETE
114,-1.8874727206685278,0.5189422815450933,-2.2935815502607526,40.0,2023-12-06 10:18:49.747881,2023-12-06 10:18:49.935716,0 days 00:00:00.187835,2.656706060415115,72,72,212,2,COMPLETE
115,0.8821527234027049,1.1065359560962003,1.3599590089554805,37.34939759036144,2023-12-06 10:18:49.936394,2023-12-06 10:18:50.126992,0 days 00:00:00.190598,2.609381161469427,12,8,112,2,COMPLETE
116,2.326941307287811,1.8447210159449685,7.785405740617886,53.84615384615385,2023-12-06 10:18:50.127728,2023-12-06 10:18:50.319005,0 days 00:00:00.191277,2.656706060415115,48,24,196,2,COMPLETE
117,0.20090878888626923,1.0128805773804184,0.11524920943916929,40.625,2023-12-06 10:18:50.319705,2023-12-06 10:18:50.505118,0 days 00:00:00.185413,1.5226763285834775,68,72,184,2,COMPLETE
118,2.4757547307615346,1.4829730744805836,6.115121291441467,38.18181818181819,2023-12-06 10:18:50.505743,2023-12-06 10:18:50.692959,0 days 00:00:00.187216,2.0433264284170827,36,8,92,2,COMPLETE
119,-0.35779485421075213,0.8953034732244477,-0.7805098075722752,40.38461538461539,2023-12-06 10:18:50.693663,2023-12-06 10:18:50.886027,0 days 00:00:00.192364,2.86172763525344,36,44,124,2,COMPLETE
120,1.203475151433319,1.1563094526792852,3.0034229333249027,36.93693693693694,2023-12-06 10:18:50.886708,2023-12-06 10:18:51.079000,0 days 00:00:00.192292,1.9378803149724673,32,16,180,2,COMPLETE
121,2.3440612683132964,1.8870719562991738,7.988135991968113,47.368421052631575,2023-12-06 10:18:51.079709,2023-12-06 10:18:51.273650,0 days 00:00:00.193941,2.4643552186425226,56,32,156,2,COMPLETE
122,1.732648545867417,1.5671443585067923,4.530676636179841,51.162790697674424,2023-12-06 10:18:51.274309,2023-12-06 10:18:51.466873,0 days 00:00:00.192564,2.161016978623138,28,64,176,2,COMPLETE
123,1.4220556793137868,1.2184447816102082,2.8317268242791296,38.23529411764706,2023-12-06 10:18:51.467955,2023-12-06 10:18:51.663667,0 days 00:00:00.195712,2.6791650985070152,28,12,44,2,COMPLETE
124,-1.1201803489245254,0.5703462162250438,-2.269595254399135,35.714285714285715,2023-12-06 10:18:51.664378,2023-12-06 10:18:51.854726,0 days 00:00:00.190348,2.4643552186425226,72,60,8,2,COMPLETE
125,0.542155555332711,1.0864615386128227,0.8779852978473038,47.5,2023-12-06 10:18:51.855405,2023-12-06 10:18:52.045886,0 days 00:00:00.190481,2.735074959919584,36,68,156,2,COMPLETE
126,2.111924165243883,1.3129621401573521,6.204304486980994,38.46153846153847,2023-12-06 10:18:52.046559,2023-12-06 10:18:52.236671,0 days 00:00:00.190112,1.80504208904515,36,16,144,2,COMPLETE
127,0.2505585146299662,1.0303814261533273,0.2863296597869045,46.15384615384615,2023-12-06 10:18:52.237398,2023-12-06 10:18:52.425107,0 days 00:00:00.187709,2.772720638738303,40,68,152,2,COMPLETE
